address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
"2641 N 44th St, Ste 100","{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': False, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",01xXe2m_z048W5gcBFpoJA,"['American (New)', 'Burgers', 'Fast Food', 'Restaurants']",Phoenix,"{'Monday': '10:00-22:00', 'Tuesday': '10:00-22:00', 'Friday': '10:00-22:00', 'Wednesday': '10:00-22:00', 'Thursday': '10:00-22:00', 'Sunday': '10:00-22:00', 'Saturday': '10:00-22:00'}",1,33.4780429336,-111.98637028899999,Five Guys,,85008.0,63,3.5,AZ
14175 W Indian School Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Caters': False, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'quiet', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 2, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': False}",XuLXX5B5W1P-iNpgXmqmjQ,"['Fast Food', 'Sandwiches', 'Restaurants']",Goodyear,"{'Monday': '8:00-22:00', 'Tuesday': '8:00-22:00', 'Friday': '8:00-22:00', 'Wednesday': '8:00-22:00', 'Thursday': '8:00-22:00', 'Sunday': '9:00-22:00', 'Saturday': '8:00-22:00'}",1,33.484027000000005,-112.363106,Subway,,85338.0,6,2.0,AZ
2904 W McDowell Rd,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'DogsAllowed': False, 'Alcohol': 'none', 'Caters': True, 'HasTV': True, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}}",TqAXKLF1P5XAIG9Uq2eUmQ,"['Restaurants', 'Latin American', 'Mexican', 'Fast Food', 'Chicken Shop']",Phoenix,"{'Monday': '9:00-20:00', 'Tuesday': '9:00-20:00', 'Friday': '9:00-20:00', 'Wednesday': '9:00-20:00', 'Thursday': '9:00-20:00', 'Sunday': '9:00-21:00', 'Saturday': '9:00-21:00'}",1,33.4659515,-112.12157739999999,El Pollo Correteado,,85009.0,13,4.5,AZ
"13869 W Bell Rd, Ste 107","{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False}, 'Alcohol': 'beer_and_wine', 'Caters': True, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': False, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",dXoeLzpG72P7F2Lwa01riQ,"['Fast Food', 'Restaurants', 'Mexican']",Surprise,"{'Monday': '10:45-22:00', 'Tuesday': '10:45-22:00', 'Friday': '10:45-22:00', 'Wednesday': '10:45-22:00', 'Thursday': '10:45-22:00', 'Sunday': '10:45-22:00', 'Saturday': '10:45-22:00'}",1,33.6382111448,-112.359094705,Chipotle Mexican Grill,,85374.0,102,2.5,AZ
1850 S 7th St,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 3, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}}",1Ds8V2c7LlwSAA3O-9f4cA,"['Burgers', 'Restaurants', 'Fast Food']",Phoenix,"{'Monday': '5:00-23:00', 'Tuesday': '5:00-23:00', 'Friday': '5:00-0:00', 'Wednesday': '5:00-23:00', 'Thursday': '5:00-23:00', 'Sunday': '5:00-23:00', 'Saturday': '5:00-0:00'}",1,33.429744899999996,-112.065708,McDonald's,,85004.0,8,2.0,AZ
1020 E Pecos Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': True, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'RestaurantsDelivery': False, 'RestaurantsTakeOut': True, 'GoodForKids': True}",rtcWSNA3HVehrnUDVphYoA,"['Fast Food', 'Sandwiches', 'Restaurants']",Chandler,{},1,33.2930604,-111.8239695,Subway,,85225.0,4,3.0,AZ
1405 W Baseline Rd,"{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': False, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}}",gpivFNirREOyEAwxVebR5g,"['Fast Food', 'Burgers', 'Restaurants']",Tempe,"{'Monday': '10:00-0:00', 'Tuesday': '10:00-0:00', 'Friday': '10:00-1:00', 'Wednesday': '10:00-0:00', 'Thursday': '10:00-0:00', 'Sunday': '10:00-0:00', 'Saturday': '10:00-1:00'}",1,33.3778358,-111.96072439999999,Wendy's,,85283.0,21,2.5,AZ
9840 W Happy Valley Rd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'RestaurantsTableService': False, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'WiFi': 'free', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True, 'Alcohol': 'none'}",qy2uJwO1D8pT96SwGY3ubg,"['Restaurants', 'Fast Food']",Peoria,{},1,33.7102237636,-112.269834449,Jack in the Box,,85383.0,13,3.5,AZ
13055 W Rancho Santa Fe Blvd,"{'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': False, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': False, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'DriveThru': True}",Dwj3s0jTQM7-r8joZSe2sw,"['Restaurants', 'Burgers', 'Fast Food']",Avondale,{},1,33.4592576,-112.3380645,McDonald's,,85323.0,3,3.0,AZ
"10110 W McDowell Rd, Ste 100","{'RestaurantsTableService': False, 'GoodForMeal': {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}, 'Alcohol': 'none', 'Caters': True, 'HasTV': False, 'RestaurantsGoodForGroups': True, 'NoiseLevel': 'average', 'WiFi': 'no', 'RestaurantsAttire': 'casual', 'RestaurantsReservations': False, 'OutdoorSeating': True, 'BusinessAcceptsCreditCards': True, 'RestaurantsPriceRange2': 1, 'BikeParking': True, 'RestaurantsDelivery': True, 'Ambience': {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}, 'RestaurantsTakeOut': True, 'GoodForKids': True, 'WheelchairAccessible': True, 'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}}",XvhSYgpJx6mc5MycXac-Iw,"['Restaurants', 'Sandwiches', 'Food Delivery Services', 'Delis', 'Food']",Avondale,"{'Monday': '11:00-22:00', 'Tuesday': '11:00-22:00', 'Friday': '11:00-22:00', 'Wednesday': '11:00-22:00', 'Thursday': '11:00-22:00', 'Sunday': '11:00-22:00', 'Saturday': '11:00-22:00'}",1,33.4652553,-112.27728799999998,Jimmy John's,,85392.0,53,3.0,AZ
